[28/Sep/2025:12:30:20 +0000] - 200 200 - GET http jseer.s4home.dpdns.org "/api/v1/media?filter=allavailable&take=20&sort=mediaAdded" [Client 172.17.0.1] [Length 15656] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://jseer.s4home.dpdns.org/"
[28/Sep/2025:12:30:20 +0000] - 200 200 - GET http jseer.s4home.dpdns.org "/api/v1/request/70" [Client 172.17.0.1] [Length 2261] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://jseer.s4home.dpdns.org/"
[28/Sep/2025:12:30:20 +0000] - 200 200 - GET http jseer.s4home.dpdns.org "/api/v1/request?filter=all&take=10&sort=modified&skip=0" [Client 172.17.0.1] [Length 22575] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://jseer.s4home.dpdns.org/"
[28/Sep/2025:12:30:20 +0000] - 200 200 - GET http jseer.s4home.dpdns.org "/api/v1/request/69" [Client 172.17.0.1] [Length 2264] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://jseer.s4home.dpdns.org/"
[28/Sep/2025:12:30:20 +0000] - 200 200 - GET http jseer.s4home.dpdns.org "/api/v1/request/68" [Client 172.17.0.1] [Length 2264] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://jseer.s4home.dpdns.org/"
[28/Sep/2025:12:30:20 +0000] - 200 200 - GET http jseer.s4home.dpdns.org "/api/v1/request/count" [Client 172.17.0.1] [Length 97] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://jseer.s4home.dpdns.org/"
[28/Sep/2025:12:30:20 +0000] - 200 200 - GET http jseer.s4home.dpdns.org "/api/v1/discover/watchlist" [Client 172.17.0.1] [Length 55] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://jseer.s4home.dpdns.org/"
[28/Sep/2025:12:30:20 +0000] - 200 200 - GET http jseer.s4home.dpdns.org "/api/v1/request/67" [Client 172.17.0.1] [Length 2264] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://jseer.s4home.dpdns.org/"
[28/Sep/2025:12:30:20 +0000] - 200 200 - GET http jseer.s4home.dpdns.org "/api/v1/issue/count" [Client 172.17.0.1] [Length 76] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://jseer.s4home.dpdns.org/"
[28/Sep/2025:12:30:20 +0000] - 200 200 - GET http jseer.s4home.dpdns.org "/api/v1/request/66" [Client 172.17.0.1] [Length 2264] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://jseer.s4home.dpdns.org/"
[28/Sep/2025:12:30:20 +0000] - 200 200 - GET http jseer.s4home.dpdns.org "/api/v1/request/65" [Client 172.17.0.1] [Length 2083] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://jseer.s4home.dpdns.org/"
[28/Sep/2025:12:30:20 +0000] - 200 200 - GET http jseer.s4home.dpdns.org "/api/v1/request/64" [Client 172.17.0.1] [Length 2261] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://jseer.s4home.dpdns.org/"
[28/Sep/2025:12:30:21 +0000] - 200 200 - GET http jseer.s4home.dpdns.org "/api/v1/request/63" [Client 172.17.0.1] [Length 2264] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://jseer.s4home.dpdns.org/"
[28/Sep/2025:12:30:21 +0000] - 200 200 - GET http jseer.s4home.dpdns.org "/api/v1/request/62" [Client 172.17.0.1] [Length 2264] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://jseer.s4home.dpdns.org/"
[28/Sep/2025:12:30:21 +0000] - 200 200 - GET http jseer.s4home.dpdns.org "/api/v1/request/61" [Client 172.17.0.1] [Length 2264] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://jseer.s4home.dpdns.org/"
[28/Sep/2025:12:30:21 +0000] - 200 200 - GET http jseer.s4home.dpdns.org "/api/v1/movie/49074" [Client 172.17.0.1] [Length 32955] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://jseer.s4home.dpdns.org/"
