[28/Sep/2025:08:11:43 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/endpoints/3/docker/v1.41/containers/json?all=true" [Client 172.17.0.1] [Length 65100] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:11:45 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/users/me" [Client 172.17.0.1] [Length 197] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:11:45 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/stacks?filters=%7B%22EndpointID%22:3,%22IncludeOrphanedStacks%22:true%7D" [Client 172.17.0.1] [Length 1706] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:11:45 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/endpoints/3/docker/v1.41/containers/json?all=true" [Client 172.17.0.1] [Length 65100] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:11:45 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/endpoints/3?excludeSnapshot=true&excludeSnapshotRaw=true" [Client 172.17.0.1] [Length 1512] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:11:45 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/users/me" [Client 172.17.0.1] [Length 197] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:11:47 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/users/me" [Client 172.17.0.1] [Length 197] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:11:47 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/endpoints?sort=&order=asc" [Client 172.17.0.1] [Length 111112] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:11:47 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/endpoints/3/docker/v1.41/containers/json?all=true" [Client 172.17.0.1] [Length 65100] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
[28/Sep/2025:08:11:47 +0000] - 200 200 - GET http portainer.s4home.dpdns.org "/api/stacks/5" [Client 172.17.0.1] [Length 528] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://portainer.s4home.dpdns.org/"
