[28/Sep/2025:08:21:09 +0000] - 200 200 - GET http cloud.s4home.dpdns.org "/api/resources/home/" [Client 172.17.0.1] [Length 754] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://cloud.s4home.dpdns.org/files/home/"
[28/Sep/2025:08:21:12 +0000] - 200 200 - GET http cloud.s4home.dpdns.org "/api/usage/home/servarr/" [Client 172.17.0.1] [Length 41] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://cloud.s4home.dpdns.org/files/home/servarr/"
[28/Sep/2025:08:21:12 +0000] - 200 200 - GET http cloud.s4home.dpdns.org "/api/resources/home/servarr/" [Client 172.17.0.1] [Length 972] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://cloud.s4home.dpdns.org/files/home/servarr/"
[28/Sep/2025:08:21:13 +0000] - 200 200 - GET http cloud.s4home.dpdns.org "/api/resources/" [Client 172.17.0.1] [Length 933] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://cloud.s4home.dpdns.org/files"
[28/Sep/2025:08:21:13 +0000] - 200 200 - GET http cloud.s4home.dpdns.org "/api/usage/" [Client 172.17.0.1] [Length 41] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://cloud.s4home.dpdns.org/files"
[28/Sep/2025:08:21:15 +0000] - 200 200 - GET http cloud.s4home.dpdns.org "/api/usage/shrishesha4_google_drive_1759047514/" [Client 172.17.0.1] [Length 41] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://cloud.s4home.dpdns.org/files/shrishesha4_google_drive_1759047514/"
[28/Sep/2025:08:21:15 +0000] - 200 200 - GET http cloud.s4home.dpdns.org "/api/resources/shrishesha4_google_drive_1759047514/" [Client 172.17.0.1] [Length 295] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://cloud.s4home.dpdns.org/files/shrishesha4_google_drive_1759047514/"
[28/Sep/2025:08:21:15 +0000] - 200 200 - GET http cloud.s4home.dpdns.org "/api/usage/" [Client 172.17.0.1] [Length 41] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://cloud.s4home.dpdns.org/files"
[28/Sep/2025:08:21:15 +0000] - 200 200 - GET http cloud.s4home.dpdns.org "/api/resources/" [Client 172.17.0.1] [Length 933] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://cloud.s4home.dpdns.org/files"
[28/Sep/2025:08:21:17 +0000] - 200 200 - GET http cloud.s4home.dpdns.org "/api/usage/ssd/" [Client 172.17.0.1] [Length 42] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://cloud.s4home.dpdns.org/files/ssd/"
[28/Sep/2025:08:21:17 +0000] - 200 200 - GET http cloud.s4home.dpdns.org "/api/resources/ssd/" [Client 172.17.0.1] [Length 1080] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://cloud.s4home.dpdns.org/files/ssd/"
[28/Sep/2025:08:21:22 +0000] - 200 200 - GET http cloud.s4home.dpdns.org "/settings/profile" [Client 172.17.0.1] [Length 2274] [Gzip 2.47] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "-"
[28/Sep/2025:08:21:22 +0000] - 200 200 - POST http cloud.s4home.dpdns.org "/api/renew" [Client 172.17.0.1] [Length 540] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://cloud.s4home.dpdns.org/settings/profile"
[28/Sep/2025:08:21:24 +0000] - 200 200 - GET http cloud.s4home.dpdns.org "/" [Client 172.17.0.1] [Length 2274] [Gzip 2.47] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "-"
[28/Sep/2025:08:21:25 +0000] - 200 200 - POST http cloud.s4home.dpdns.org "/api/renew" [Client 172.17.0.1] [Length 540] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://cloud.s4home.dpdns.org/"
[28/Sep/2025:08:21:25 +0000] - 200 200 - GET http cloud.s4home.dpdns.org "/api/usage/" [Client 172.17.0.1] [Length 41] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://cloud.s4home.dpdns.org/files/"
[28/Sep/2025:08:21:25 +0000] - 200 200 - GET http cloud.s4home.dpdns.org "/api/resources/" [Client 172.17.0.1] [Length 933] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://cloud.s4home.dpdns.org/files/"
[28/Sep/2025:08:21:52 +0000] - 200 200 - GET http cloud.s4home.dpdns.org "/files/" [Client 172.17.0.1] [Length 2274] [Gzip 2.47] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "-"
[28/Sep/2025:08:21:52 +0000] - 200 200 - POST http cloud.s4home.dpdns.org "/api/renew" [Client 172.17.0.1] [Length 540] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://cloud.s4home.dpdns.org/files/"
[28/Sep/2025:08:21:52 +0000] - 200 200 - GET http cloud.s4home.dpdns.org "/api/usage/" [Client 172.17.0.1] [Length 41] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://cloud.s4home.dpdns.org/files/"
